work_year,job_category,salary_in_usd,experience_level,employment_type,work_setting,company_location,company_size
2023,Machine Learning and AI,168700,Senior,Full-time,In-person,Canada,M
2023,Data Science and Research,187415,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,114080,Senior,Full-time,In-person,United States,M
2023,Data Analysis,32974,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analysis,32974,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analysis,165000,Senior,Full-time,Remote,United States,M
2023,Data Analysis,140000,Senior,Full-time,Remote,United States,M
2023,Leadership and Management,150000,Mid-level,Full-time,Remote,United States,M
2023,Data Analysis,167000,Mid-level,Full-time,In-person,United States,M
2023,Data Analysis,121000,Mid-level,Full-time,In-person,United States,M
2023,BI and Visualization,185000,Mid-level,Full-time,In-person,United States,L
2023,BI and Visualization,79600,Mid-level,Full-time,In-person,United States,L
2023,Data Science and Research,190200,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,95100,Senior,Full-time,In-person,United States,M
2023,Data Analysis,133000,Entry-level,Full-time,In-person,United States,M
2023,Data Analysis,58400,Entry-level,Full-time,In-person,United States,M
2023,Data Engineering,90000,Mid-level,Full-time,Remote,United States,M
2023,Data Engineering,70000,Mid-level,Full-time,Remote,United States,M
2023,Data Science and Research,166000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,73100,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,135000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,100000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,180514,Senior,Full-time,Remote,United Kingdom,M
2023,Data Engineering,108308,Senior,Full-time,Remote,United Kingdom,M
2023,Machine Learning and AI,294000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,192000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,266000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,167000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,200000,Senior,Full-time,Remote,United States,M
2023,Machine Learning and AI,150000,Senior,Full-time,Remote,United States,M
2023,Data Analysis,163800,Entry-level,Full-time,Remote,United States,M
2023,Data Analysis,88200,Entry-level,Full-time,Remote,United States,M
2023,Data Analysis,180400,Senior,Full-time,In-person,United States,M
2023,Data Analysis,138800,Senior,Full-time,In-person,United States,M
2023,Data Analysis,67672,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Analysis,55368,Mid-level,Full-time,In-person,United Kingdom,M
2023,Machine Learning and AI,319000,Senior,Full-time,Remote,United States,M
2023,Machine Learning and AI,206000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,215000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,142000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,266000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,167000,Senior,Full-time,In-person,United States,M
2023,Data Analysis,140130,Senior,Full-time,In-person,United States,M
2023,Data Analysis,84870,Senior,Full-time,In-person,United States,M
2023,Data Engineering,178300,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,105400,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,222200,Mid-level,Full-time,In-person,United States,L
2023,Data Science and Research,136000,Mid-level,Full-time,In-person,United States,L
2023,Machine Learning and AI,215000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,142000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,240000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,210000,Senior,Full-time,Remote,United States,M
2023,Data Engineering,122000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,94500,Senior,Full-time,In-person,United States,M
2023,Data Engineering,150000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,116000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,90000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,145000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,128000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,154000,Senior,Full-time,Remote,United States,M
2023,Data Engineering,126000,Senior,Full-time,Remote,United States,M
2023,Machine Learning and AI,240000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,157250,Senior,Full-time,In-person,United States,M
2023,Data Engineering,219650,Executive,Full-time,Remote,United States,M
2023,Data Engineering,136000,Executive,Full-time,Remote,United States,M
2023,Data Science and Research,150000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,180000,Mid-level,Full-time,Remote,United States,M
2023,Machine Learning and AI,125000,Mid-level,Full-time,Remote,United States,M
2023,Data Science and Research,247600,Senior,Full-time,In-person,United States,L
2023,Data Science and Research,127300,Senior,Full-time,In-person,United States,L
2023,Data Science and Research,60000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,55000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,250000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,125000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,190000,Senior,Full-time,Remote,United States,M
2023,Machine Learning and AI,170000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,202600,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,168800,Senior,Full-time,Remote,United States,M
2023,Data Engineering,132000,Mid-level,Full-time,Remote,United States,M
2023,Data Engineering,111000,Mid-level,Full-time,Remote,United States,M
2023,Data Science and Research,203000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,127000,Senior,Full-time,Remote,United States,M
2023,BI and Visualization,125009,Mid-level,Full-time,Remote,United States,M
2023,BI and Visualization,83339,Mid-level,Full-time,Remote,United States,M
2023,Data Analysis,112200,Senior,Full-time,Remote,United States,M
2023,Data Analysis,91800,Senior,Full-time,Remote,United States,M
2023,Machine Learning and AI,200000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,160000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,161952,Senior,Full-time,Hybrid,France,M
2023,Data Architecture and Modeling,185000,Senior,Full-time,In-person,United States,M
2023,Data Architecture and Modeling,150000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,160000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,130000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,145000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,115000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,133000,Entry-level,Part-time,In-person,United States,M
2023,Data Science and Research,58300,Entry-level,Part-time,In-person,United States,M
2023,Data Engineering,254000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,159000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,170000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,85000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,130500,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,116000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,81400,Entry-level,Full-time,Remote,United States,M
2023,Data Science and Research,43500,Entry-level,Full-time,Remote,United States,M
2023,Data Engineering,169000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,92000,Mid-level,Full-time,In-person,United States,M
2023,Data Analysis,166000,Senior,Full-time,In-person,United States,M
2023,Data Analysis,73100,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,190000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,165000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,305600,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,146600,Senior,Full-time,In-person,United States,M
2023,Data Analysis,150000,Senior,Full-time,In-person,United States,M
2023,Data Analysis,120000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,275000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,146400,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,208500,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,165000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,258700,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,172500,Senior,Full-time,In-person,United States,M
2023,Data Engineering,150000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,130000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,185000,Senior,Full-time,Remote,United States,M
2023,Data Engineering,150000,Senior,Full-time,Remote,United States,M
2023,Data Analysis,166000,Senior,Full-time,In-person,United States,M
2023,Data Analysis,73100,Senior,Full-time,In-person,United States,M
2023,BI and Visualization,198200,Senior,Full-time,In-person,United States,M
